SMILES,MolecularFormula,MolecularWeight,IUPACName,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
CC1=C(C2=CC=CC=C2OC1=O)O,C10H8O3,176.17,4-hydroxy-3-methylchromen-2-one,1.2,46.5,1,3,0,13,267
CCC1=CC2=CC=CC=C2OC1=O,C11H10O2,174.2,3-ethylchromen-2-one,2.7,26.3,0,2,1,13,242
CC1=C2C=CC(=O)OC2=CC=C1,C10H8O2,160.17,5-methylchromen-2-one,2.3,26.3,0,2,0,12,220
CCOC1=CC=CC=C1/C=C/C(=O)O,C11H12O3,192.21,(E)-3-(2-ethoxyphenyl)prop-2-enoic acid,2.2,46.5,1,3,4,14,211
C1=CC2=C(C=C1F)C(=CC(=O)O2)O,C9H5FO3,180.13,6-fluoro-4-hydroxychromen-2-one,1.4,46.5,1,4,0,13,262
CCCC1=CC=C(C=C1)OC(=O)C=C,C12H14O2,190.24,(4-propylphenyl) prop-2-enoate,3.5,26.3,0,2,5,14,190
CCCCCCC1=CC=CC=C1OC(=O)C=C,C15H20O2,232.32,(2-hexylphenyl) prop-2-enoate,4.8,26.3,0,2,8,17,235
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,302.23,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",1.5,127,5,7,1,22,488
C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H12O7,304.25,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one",1.5,127,5,7,1,22,428
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O8,318.23,"3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one",1.2,148,6,8,1,23,506
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",1.7,87,3,5,1,20,410
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C16H12O6,300.26,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chromen-4-one",1.7,96.2,3,6,2,22,462
COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,C16H14O6,302.28,"(2S)-5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one",2.4,96.2,3,6,2,22,413
C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H12O8,320.25,"(2R,3R)-3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)-2,3-dihydrochromen-4-one",1.1,148,6,8,1,23,445
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",1.4,107,4,6,1,21,447
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",1.9,107,4,6,1,21,451
C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,C15H10O4,254.24,"5,7-dihydroxy-2-phenylchromen-4-one",2.1,66.8,2,4,1,19,384
C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,"3,5,7-trihydroxy-2-phenylchromen-4-one",2.3,87,3,5,1,20,424
