SMILES,MolecularFormula,MolecularWeight,IUPACName,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
CC1=N/C(=C\C2=CC=C(C=C2)OC)/C(=O)N1C3=CC=C(C=C3)/C(=C\4/C(=O)N(C(=S)S4)CNC5=CC=C(C=C5)Br)/C,C30H25BrN4O3S2,633.6,"(5Z)-3-[(4-bromoanilino)methyl]-5-[1-[4-[(4Z)-4-[(4-methoxyphenyl)methylidene]-2-methyl-5-oxoimidazol-1-yl]phenyl]ethylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",7.2,132,1,7,7,40,1080
C1COCCN1S(=O)(=O)C2=CC=CC(=C2)N/N=C(\C#N)/C3=NC4=CC=CC=C4N3,C19H18N6O3S,410.5,(2E)-N-(3-morpholin-4-ylsulfonylanilino)-1H-benzimidazole-2-carboximidoyl cyanide,2.9,132,2,8,5,29,752
CCC1=C(SC(=N1)C2=CC(=C(C(=C2)Cl)OC)OC)CNC,C15H19ClN2O2S,326.8,"1-[2-(3-chloro-4,5-dimethoxyphenyl)-4-ethyl-1,3-thiazol-5-yl]-N-methylmethanamine",3.4,71.6,1,5,6,21,324
CC1=CC(=CC(=C1)OCC(=O)NNC(=O)[C@@H](CCSC)NC(=O)C2=CC=C(C=C2)C(C)(C)C)C,C26H35N3O4S,485.6,"4-tert-butyl-N-[(2R)-1-[2-[2-(3,5-dimethylphenoxy)acetyl]hydrazinyl]-4-methylsulfanyl-1-oxobutan-2-yl]benzamide",5.2,122,3,5,10,34,663
CCC(C1=CC=CC=C1)C(=O)N2CCNCC2C3=CC(=CC=C3)F.Cl,C20H24ClFN2O,362.9,1-[2-(3-fluorophenyl)piperazin-1-yl]-2-phenylbutan-1-one;hydrochloride,,32.3,2,3,4,25,410
C#CC1=C(C=CC(=C1)CCC(=O)O)N,C11H11NO2,189.21,3-(4-amino-3-ethynylphenyl)propanoic acid,1.2,63.3,2,3,4,14,253
COC1=CC=CC=C1C(=O)N/C(=C/C2=CC=CC=C2)/C(=O)NCCCCCC(=O)O,C23H26N2O5,410.5,6-[[(E)-2-[(2-methoxybenzoyl)amino]-3-phenylprop-2-enoyl]amino]hexanoic acid,3.2,105,3,5,11,30,598
C1C(CN(C1=O)C2=C(C=C(C=C2)Br)OC(F)F)S(=O)(=O)N,C11H11BrF2N2O4S,385.18,1-[4-bromo-2-(difluoromethoxy)phenyl]-5-oxopyrrolidine-3-sulfonamide,1.4,98.1,1,7,4,21,499
CC1=CC=C(C=C1)CNC(=O)C2(CN(C2)C3=NC=NN4C3=CC(=C4)C5=CC=C(C=C5)OC(C)(C)C)OC,C29H33N5O3,499.6,"3-methoxy-N-[(4-methylphenyl)methyl]-1-[6-[4-[(2-methylpropan-2-yl)oxy]phenyl]pyrrolo[2,1-f][1,2,4]triazin-4-yl]azetidine-3-carboxamide",4.1,81,1,6,8,37,766
C[C@@H](C(=O)NC[C@@H]1CCCO1)NC2=NS(=O)(=O)C3=CC=CC=C32,C15H19N3O4S,337.4,"(2S)-2-[(1,1-dioxo-1,2-benzothiazol-3-yl)amino]-N-[[(2S)-oxolan-2-yl]methyl]propanamide",0.6,105,2,5,5,23,584
CCCCN1C(=C(C(=O)NC1=O)N(CC)C(=O)C[C@H](C2=CC=CC=C2)NC(=O)C)N,C21H29N5O4,415.5,"(3R)-3-acetamido-N-(6-amino-1-butyl-2,4-dioxopyrimidin-5-yl)-N-ethyl-3-phenylpropanamide",0.7,125,3,5,9,30,700
C[C@@H]1[C@H](OC2=CC=CC=C2O1)C(=O)OCC(=O)N3CCN(CC3)C4=C(C=C(C=N4)C(F)(F)F)Cl,C22H21ClF3N3O5,499.9,"[2-[4-[3-chloro-5-(trifluoromethyl)-2-pyridinyl]piperazin-1-yl]-2-oxoethyl] (2R,3S)-2-methyl-2,3-dihydro-1,4-benzodioxine-3-carboxylate",3.9,81.2,0,10,5,34,737
CCCCCCC(=S)C1=CC=CC=C1,C13H18S,206.35,1-phenylheptane-1-thione,4.7,32.1,0,1,6,14,157
C[C@]12CC[C@@](C1(C)C)(OC2=O)C(=O)N3CCC=CC3,C15H21NO3,263.33,"(1S,4S)-1-(3,6-dihydro-2H-pyridine-1-carbonyl)-4,7,7-trimethyl-2-oxabicyclo[2.2.1]heptan-3-one",2,46.6,0,3,1,19,482
COC1=C(C=CC(=C1)C=C(C#N)C(=O)NC2=NC3=CC=CC=C3S2)OCC4=CC=CC=C4Cl,C25H18ClN3O3S,475.9,"N-(1,3-benzothiazol-2-yl)-3-[4-[(2-chlorophenyl)methoxy]-3-methoxyphenyl]-2-cyanoprop-2-enamide",6.5,112,1,6,7,33,756
C1=CC=C(C=C1)C2=CC(=NC(=C2)C3=NC(=CC=C3)C4=CC(=NC(=N4)C5=CC=CC=C5)C6=CC=CC(=N6)C7=CC(=CC(=N7)C8=CC=CC=C8)C9=CC=CC=C9)C1=CC=CC=C1,C54H36N6,768.9,"4,6-bis[6-(4,6-diphenyl-2-pyridinyl)-2-pyridinyl]-2-phenylpyrimidine",11,77.3,0,6,9,60,1180
CC(C)C/C=C/CC1CCC2C1(CCC3=C2CCC4C3(CCC(=O)C4)C)C,C26H40O,368.6,"10,13-dimethyl-17-[(E)-5-methylhex-2-enyl]-1,2,4,5,6,7,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",6.4,17.1,0,1,4,27,653
CCCCCCCCC=CCCCCCCCCCC(=O)OC1=C(C=C(C=C1OC)C2C3C(CC4=CC5=C(C=C24)OCO5)COC3=O)OC,C41H56O8,676.9,"[2,6-dimethoxy-4-(6-oxo-5a,8,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-5-yl)phenyl] icos-11-enoate",11.5,89.5,0,8,22,49,1000
C[C@@H](C1=CC(=C(C=C1)Cl)Cl)[NH2+]CCCSC,C12H18Cl2NS+,279.2,"[(1S)-1-(3,4-dichlorophenyl)ethyl]-(3-methylsulfanylpropyl)azanium",4,41.9,1,1,6,16,192
C[C@H](C(=O)NC1=CC=CC=C1C(C)(C)C)OC(=O)CSC2=C(C(=CC(=N2)[O-])C(F)(F)F)C#N,C22H21F3N3O4S-,480.5,6-[2-[(2R)-1-(2-tert-butylanilino)-1-oxopropan-2-yl]oxy-2-oxoethyl]sulfanyl-5-cyano-4-(trifluoromethyl)pyridin-2-olate,5.8,140,1,10,8,33,749
